cid,text,time,author,channel,votes,photo,heart
UgxUas6U2MKuLYHWXVp4AaABAg,"Check out “Pizza Knockers” and our other sports related comedy and fantasy sports videos
https://youtu.be/H7oZFN_mEKE",7 months ago,Fantasy R&R,UCXaaK1F2oPy9gsxlTI8fNSQ,100,https://yt3.ggpht.com/2fKPhHAi6sS55bRfYafFG4Kz9BhuCqU49p0SqAEDKU9P8jdnc56qaVTgdoZawlib43-LI8h5vw=s176-c-k-c0x00ffffff-no-rj,False
Ugz5cXxW8h5a6WKmeE54AaABAg,that's a killer joke huh?,4 months ago,Aeo P,UCqLmyGq3k0cYUunEFWDSE5w,0,https://yt3.ggpht.com/ytc/AKedOLRMhGzSFro5_1hd6SII4lUyc-TM5EEhwRXoOelLTQ=s176-c-k-c0x00ffffff-no-rj,True
UgzCTV8pNf-R93RFNPh4AaABAg,It’s crazy because just before norm died I started watching him. Now that he’s gone and things are just never the same again.,5 months ago,B M,UCdWTI2S6nqr_ppqDagq1oyQ,0,https://yt3.ggpht.com/ytc/AKedOLSJR3rBYljlVzWlKn9YCgloyQtQMh21V9VMZRPVAA=s176-c-k-c0x00ffffff-no-rj,False
UgzPgX29Zif35od300d4AaABAg,"The absolute best joke is the moth joke, absolute gold!",5 months ago,nelkku,UCb4DWcyAkPUxd2L9loZGI4g,0,https://yt3.ggpht.com/ytc/AKedOLRgTA0-HI7rhkcZqkx6I_cN-VCFMz6P4TnE9w=s176-c-k-c0x00ffffff-no-rj,False
UgxO0Nl7SaVZMX0U8Wt4AaABAg,My favorite Norm OJ joke was the one about OJ's girlfriend dumping him on the same night that Colombian hitmen killed his wife :D The Bill Clinton OJ jokes were also great :D,5 months ago,crazyfvck,UCpvpBdqfpecVKTzUf1diKBQ,0,https://yt3.ggpht.com/ytc/AKedOLTQNUq4dEie3KkH6zdAq_N4BKTFBiVxPnE9HA=s176-c-k-c0x00ffffff-no-rj,False
UgzGkTc8ChZX5GcOjL54AaABAg,And this is one of at least a thousand reasons why Norm MacDonald was just amazing. Man I loved him. I still do but also I used to. ( Me trying to segue another dead comedian into a joke).,5 months ago,Kylie Humphries,UCMM22XFBVTaTZJZ0BqJZ9Jg,0,https://yt3.ggpht.com/ytc/AKedOLT2qnNDsviRWoRB0nU27_5islC6Wt_xYj_EM6aa0w=s176-c-k-c0x00ffffff-no-rj,False
UgywKQ5yDx02_RNc4Dd4AaABAg,"My personal favorite joke of his was ""The Boston marathon was held this week, this of course being the annual event where thousands of white people futilely chase some Kenyans through the streets of Boston""",5 months ago,gay videos,UCc8RsUuKYWvSylTKc6twpUw,0,https://yt3.ggpht.com/c1W1OIjgz2lqN1LNhVICUdmh3a_zcWGw4bHX8IzWekRqvX5Gzde87fSg45HeZsmbtmPWGeCxQwk=s176-c-k-c0x00ffffff-no-rj,False
Ugwm1yk9vBNTOauDirZ4AaABAg,I love how OJs name on the cover is bigger than the book title,5 months ago,seal in french,UCzz9d1tmEbXdqkUI1ufdrDw,0,https://yt3.ggpht.com/AAJ2oG56AUObgahJiVfjB1z5_IeIGiJQMOnwohq57xJesbJDuIMyxxHYMjMnzjaM9WlKraql=s176-c-k-c0x00ffffff-no-rj,False
UgxhI_gxu5giOCbYmfB4AaABAg,I thought I was the only one who saw this and knew it was gold,5 months ago,seal in french,UCzz9d1tmEbXdqkUI1ufdrDw,0,https://yt3.ggpht.com/AAJ2oG56AUObgahJiVfjB1z5_IeIGiJQMOnwohq57xJesbJDuIMyxxHYMjMnzjaM9WlKraql=s176-c-k-c0x00ffffff-no-rj,False
Ugz3FMOyQeh_zYHjiFh4AaABAg,"Zero Fucks after seeing this joke “Oh my god🤭 did he just say that 🤭 he did, didn’t he 🤭 I can’t believe he said that 🤭”",5 months ago (edited),Pal Cockrum,UCbfm2LcGv68srcXHu7Jf_8w,0,https://yt3.ggpht.com/ytc/AKedOLQ2ncmTNXcOhvfHB43lAe8H3KfkuuhuGAeA0gzUsw=s176-c-k-c0x00ffffff-no-rj,False
